"Modulation #","E0 [eV]"
"763","-35.789795"
"764","-35.774414"
"765","-35.754162"
"766","-35.728718"
"767","-35.697672"
"768","-35.660544"
"769","-35.616787"
"770","-35.565794"
"771","-35.506908"
"772","-35.439422"
"773","-35.362592"
"774","-35.275633"
"775","-35.177793"
"776","-35.011576"
"777","-35.124572"
"778","-35.225629"
"779","-35.315511"
"780","-35.395021"
"781","-35.464914"
"782","-35.525891"
"783","-35.5786"
"784","-35.62366"
"785","-35.661598"
"786","-35.692899"
"787","-35.71796"
"788","-35.737097"
"789","-35.750591"
"790","-35.758615"
"791","-35.76129"
"792","-35.758615"
"793","-35.750591"
"794","-35.737097"
"795","-35.71796"
"796","-35.692899"
"797","-35.661598"
"798","-35.62366"
"799","-35.5786"
"800","-35.525891"
"801","-35.464914"
"802","-35.395021"
"803","-35.315511"
"804","-35.225628"
"805","-35.124572"
"806","-35.011576"
"807","-34.817702"
"808","-34.947523"
"809","-35.0642"
"810","-35.168507"
"811","-35.261261"
"812","-35.343238"
"813","-35.415152"
"814","-35.477665"
"815","-35.53138"
"816","-35.576837"
"817","-35.614517"
"818","-35.644795"
"819","-35.667995"
"820","-35.684397"
"821","-35.69416"
"822","-35.697404"
"823","-35.69416"
"824","-35.684397"
"825","-35.667995"
"826","-35.644795"
"827","-35.614517"
"828","-35.576837"
"829","-35.53138"
"830","-35.477665"
"831","-35.415152"
"832","-35.343238"
"833","-35.261261"
"834","-35.168507"
"835","-35.0642"
"836","-34.947523"
"837","-34.817702"
"838","-34.593649"
"839","-34.742046"
"840","-34.875913"
"841","-34.996056"
"842","-35.103334"
"843","-35.198524"
"844","-35.282365"
"845","-35.35554"
"846","-35.418645"
"847","-35.47224"
"848","-35.516794"
"849","-35.552707"
"850","-35.580285"
"851","-35.599817"
"852","-35.611471"
"853","-35.615342"
"854","-35.611471"
"855","-35.599817"
"856","-35.580285"
"857","-35.552707"
"858","-35.516794"
"859","-35.47224"
"860","-35.418645"
"861","-35.35554"
"862","-35.282365"
"863","-35.198524"
"864","-35.103334"
"865","-34.996056"
"866","-34.875912"
"867","-34.742046"
"868","-34.593649"
"869","-34.336957"
"870","-34.505757"
"871","-34.658452"
"872","-34.7959"
"873","-34.918998"
"874","-35.028561"
"875","-35.12535"
"876","-35.210064"
"877","-35.283331"
"878","-35.345704"
"879","-35.397677"
"880","-35.439652"
"881","-35.471945"
"882","-35.494834"
"883","-35.508499"
"884","-35.513042"
"885","-35.508499"
"886","-35.494834"
"887","-35.471945"
"888","-35.439652"
"889","-35.397677"
"890","-35.345704"
"891","-35.283331"
"892","-35.210064"
"893","-35.12535"
"894","-35.028561"
"895","-34.918998"
"896","-34.7959"
"897","-34.658452"
"898","-34.505757"
"899","-34.336957"
"900","-34.045126"
"901","-34.236248"
"902","-34.409512"
"903","-34.565827"
"904","-34.706126"
"905","-34.831276"
"906","-34.942066"
"907","-35.039241"
"908","-35.123462"
"909","-35.195281"
"910","-35.255226"
"911","-35.303707"
"912","-35.34105"
"913","-35.367546"
"914","-35.38337"
"915","-35.388632"
"916","-35.38337"
"917","-35.367546"
"918","-35.34105"
"919","-35.303707"
"920","-35.255226"
"921","-35.195281"
"922","-35.123462"
"923","-35.039241"
"924","-34.942066"
"925","-34.831276"
"926","-34.706126"
"927","-34.565827"
"928","-34.409512"
"929","-34.236248"
"930","-34.045126"
"931","-33.715784"
"932","-33.931274"
"933","-34.126917"
"934","-34.303724"
"935","-34.462668"
"936","-34.604669"
"937","-34.730596"
"938","-34.841211"
"939","-34.937205"
"940","-35.019187"
"941","-35.087675"
"942","-35.143119"
"943","-35.185866"
"944","-35.216213"
"945","-35.234344"
"946","-35.240375"
"947","-35.234344"
"948","-35.216213"
"949","-35.185866"
"950","-35.143119"
"951","-35.087675"
"952","-35.019187"
"953","-34.937205"
"954","-34.841211"
"955","-34.730596"
"956","-34.604669"
"957","-34.462668"
"958","-34.303724"
"959","-34.126917"
"960","-33.931274"
"961","-33.715784"
