"Mode 1","q = (0.000, 0.000, 0.000), band = 1"
"Mode 2","q = (0.000, 0.000, 0.000), band = 2"

"Modulation #","Q_1 [amu^1/2 A]","Q_2 [amu^1/2 A]"
"430","-1.0","5.5"
"431","-1.0","6.0"
"432","-1.0","6.5"
"433","-1.0","7.0"
"434","-1.0","7.5"
"435","-0.5","-7.5"
"436","-0.5","-7.0"
"437","-0.5","-6.5"
"438","-0.5","-6.0"
"439","-0.5","-5.5"
"440","-0.5","-5.0"
"441","-0.5","-4.5"
"442","-0.5","-4.0"
"443","-0.5","-3.5"
"444","-0.5","-3.0"
"445","-0.5","-2.5"
"446","-0.5","-2.0"
"447","-0.5","-1.5"
"448","-0.5","-1.0"
"449","-0.5","-0.5"
"450","-0.5","0.0"
"451","-0.5","0.5"
"452","-0.5","1.0"
"453","-0.5","1.5"
"454","-0.5","2.0"
"455","-0.5","2.5"
"456","-0.5","3.0"
"457","-0.5","3.5"
"458","-0.5","4.0"
"459","-0.5","4.5"
"460","-0.5","5.0"
"461","-0.5","5.5"
"462","-0.5","6.0"
"463","-0.5","6.5"
"464","-0.5","7.0"
"465","-0.5","7.5"
"466","0.0","-7.5"
"467","0.0","-7.0"
"468","0.0","-6.5"
"469","0.0","-6.0"
"470","0.0","-5.5"
"471","0.0","-5.0"
"472","0.0","-4.5"
"473","0.0","-4.0"
"474","0.0","-3.5"
"475","0.0","-3.0"
"476","0.0","-2.5"
"477","0.0","-2.0"
"478","0.0","-1.5"
"479","0.0","-1.0"
"480","0.0","-0.5"
"481","0.0","0.0"
"482","0.0","0.5"
"483","0.0","1.0"
"484","0.0","1.5"
"485","0.0","2.0"
"486","0.0","2.5"
"487","0.0","3.0"
"488","0.0","3.5"
"489","0.0","4.0"
"490","0.0","4.5"
"491","0.0","5.0"
"492","0.0","5.5"
"493","0.0","6.0"
"494","0.0","6.5"
"495","0.0","7.0"
"496","0.0","7.5"
"497","0.5","-7.5"
"498","0.5","-7.0"
"499","0.5","-6.5"
"500","0.5","-6.0"
"501","0.5","-5.5"
"502","0.5","-5.0"
"503","0.5","-4.5"
"504","0.5","-4.0"
"505","0.5","-3.5"
"506","0.5","-3.0"
"507","0.5","-2.5"
"508","0.5","-2.0"
"509","0.5","-1.5"
"510","0.5","-1.0"
"511","0.5","-0.5"
"512","0.5","0.0"
"513","0.5","0.5"
"514","0.5","1.0"
"515","0.5","1.5"
"516","0.5","2.0"
"517","0.5","2.5"
"518","0.5","3.0"
"519","0.5","3.5"
"520","0.5","4.0"
"521","0.5","4.5"
"522","0.5","5.0"
"523","0.5","5.5"
"524","0.5","6.0"
"525","0.5","6.5"
"526","0.5","7.0"
"527","0.5","7.5"
"528","1.0","-7.5"
"529","1.0","-7.0"
"530","1.0","-6.5"
"531","1.0","-6.0"
"532","1.0","-5.5"
"533","1.0","-5.0"
"534","1.0","-4.5"
"535","1.0","-4.0"
"536","1.0","-3.5"
"537","1.0","-3.0"
"538","1.0","-2.5"
"539","1.0","-2.0"
"540","1.0","-1.5"
"541","1.0","-1.0"
"542","1.0","-0.5"
"543","1.0","0.0"
"544","1.0","0.5"
"545","1.0","1.0"
"546","1.0","1.5"
"547","1.0","2.0"
"548","1.0","2.5"
"549","1.0","3.0"
"550","1.0","3.5"
"551","1.0","4.0"
"552","1.0","4.5"
"553","1.0","5.0"
"554","1.0","5.5"
"555","1.0","6.0"
"556","1.0","6.5"
"557","1.0","7.0"
"558","1.0","7.5"
"559","1.5","-7.5"
"560","1.5","-7.0"
"561","1.5","-6.5"
"562","1.5","-6.0"
"563","1.5","-5.5"
"564","1.5","-5.0"
"565","1.5","-4.5"
"566","1.5","-4.0"
"567","1.5","-3.5"
"568","1.5","-3.0"
"569","1.5","-2.5"
"570","1.5","-2.0"
"571","1.5","-1.5"
"572","1.5","-1.0"
"573","1.5","-0.5"
"574","1.5","0.0"
"575","1.5","0.5"
"576","1.5","1.0"
"577","1.5","1.5"
"578","1.5","2.0"
"579","1.5","2.5"
"580","1.5","3.0"
"581","1.5","3.5"
"582","1.5","4.0"
"583","1.5","4.5"
"584","1.5","5.0"
"585","1.5","5.5"
"586","1.5","6.0"
"587","1.5","6.5"
"588","1.5","7.0"
"589","1.5","7.5"
"590","2.0","-7.5"
"591","2.0","-7.0"
"592","2.0","-6.5"
"593","2.0","-6.0"
"594","2.0","-5.5"
"595","2.0","-5.0"
"596","2.0","-4.5"
"597","2.0","-4.0"
"598","2.0","-3.5"
"599","2.0","-3.0"
"600","2.0","-2.5"
"601","2.0","-2.0"
"602","2.0","-1.5"
"603","2.0","-1.0"
"604","2.0","-0.5"
"605","2.0","0.0"
"606","2.0","0.5"
"607","2.0","1.0"
"608","2.0","1.5"
"609","2.0","2.0"
"610","2.0","2.5"
"611","2.0","3.0"
"612","2.0","3.5"
"613","2.0","4.0"
"614","2.0","4.5"
"615","2.0","5.0"
"616","2.0","5.5"
"617","2.0","6.0"
"618","2.0","6.5"
"619","2.0","7.0"
"620","2.0","7.5"
"621","2.5","-7.5"
"622","2.5","-7.0"
"623","2.5","-6.5"
"624","2.5","-6.0"
"625","2.5","-5.5"
"626","2.5","-5.0"
"627","2.5","-4.5"
"628","2.5","-4.0"
"629","2.5","-3.5"
"630","2.5","-3.0"
"631","2.5","-2.5"
"632","2.5","-2.0"
"633","2.5","-1.5"
"634","2.5","-1.0"
"635","2.5","-0.5"
"636","2.5","0.0"
"637","2.5","0.5"
"638","2.5","1.0"
"639","2.5","1.5"
"640","2.5","2.0"
"641","2.5","2.5"
"642","2.5","3.0"
"643","2.5","3.5"
"644","2.5","4.0"
"645","2.5","4.5"
"646","2.5","5.0"
"647","2.5","5.5"
"648","2.5","6.0"
"649","2.5","6.5"
"650","2.5","7.0"
"651","2.5","7.5"
"652","3.0","-7.5"
"653","3.0","-7.0"
"654","3.0","-6.5"
"655","3.0","-6.0"
"656","3.0","-5.5"
"657","3.0","-5.0"
"658","3.0","-4.5"
"659","3.0","-4.0"
"660","3.0","-3.5"
"661","3.0","-3.0"
"662","3.0","-2.5"
"663","3.0","-2.0"
"664","3.0","-1.5"
"665","3.0","-1.0"
"666","3.0","-0.5"
"667","3.0","0.0"
"668","3.0","0.5"
"669","3.0","1.0"
"670","3.0","1.5"
"671","3.0","2.0"
"672","3.0","2.5"
"673","3.0","3.0"
"674","3.0","3.5"
"675","3.0","4.0"
"676","3.0","4.5"
"677","3.0","5.0"
"678","3.0","5.5"
"679","3.0","6.0"
"680","3.0","6.5"
"681","3.0","7.0"
"682","3.0","7.5"
"683","3.5","-7.5"
"684","3.5","-7.0"
"685","3.5","-6.5"
"686","3.5","-6.0"
"687","3.5","-5.5"
"688","3.5","-5.0"
"689","3.5","-4.5"
"690","3.5","-4.0"
"691","3.5","-3.5"
"692","3.5","-3.0"
"693","3.5","-2.5"
"694","3.5","-2.0"
"695","3.5","-1.5"
"696","3.5","-1.0"
"697","3.5","-0.5"
"698","3.5","0.0"
"699","3.5","0.5"
"700","3.5","1.0"
"701","3.5","1.5"
"702","3.5","2.0"
"703","3.5","2.5"
"704","3.5","3.0"
"705","3.5","3.5"
"706","3.5","4.0"
"707","3.5","4.5"
"708","3.5","5.0"
"709","3.5","5.5"
"710","3.5","6.0"
"711","3.5","6.5"
"712","3.5","7.0"
"713","3.5","7.5"
"714","4.0","-7.5"
"715","4.0","-7.0"
"716","4.0","-6.5"
"717","4.0","-6.0"
"718","4.0","-5.5"
"719","4.0","-5.0"
"720","4.0","-4.5"
"721","4.0","-4.0"
