"Power","Coefficient"
"0","-3.2593987882643851e-07"
"1","2.4506083062635661e-17"
"2","-0.0026555643986729475"
"3","-2.1313502872729603e-17"
"4","0.00037068972880364222"
"5","4.0180294550695473e-18"
"6","-3.7253203144291331e-06"
"7","-3.8234684844950083e-19"
"8","5.0399261801850371e-08"
"9","2.0015301367620615e-20"
"10","-6.2632549131039566e-10"
"11","-6.0506649991067133e-22"
"12","5.6139379854604774e-12"
"13","1.0801680474596112e-23"
"14","-3.1288823476120655e-14"
"15","-1.1216372815880037e-25"
"16","8.3811653231166193e-17"
"17","6.2565129694717437e-28"
"18","1.1299853280555864e-20"
"19","-1.4483368665231606e-30"
"20","-3.9750551282082348e-22"

"Q [amu^1/2 A]","dU(Q) [eV]","dU(Q)_Fit [eV]","d_Fit [eV]","dU(Q) [meV]","dU(Q)_Fit [meV]","d_Fit [meV]"
"-1.75","-0.0047569999999979018","-0.0047590605584214218","-2.0605584235200078e-06","-4.7569999999979018","-4.7590605584214218","-0.0020605584235200078"
"-1.5","-0.0041390000000021132","-0.0041399065313503488","-9.0653134823554665e-07","-4.1390000000021132","-4.1399065313503485","-0.00090653134823554665"
"-1.25","-0.0032589999999999009","-0.0032585574104262451","4.4258957365575849e-07","-3.2589999999999009","-3.2585574104262451","0.00044258957365575849"
"-1.0","-0.0022900000000021237","-0.0022888761515435243","1.1238484585993948e-06","-2.2900000000021237","-2.2888761515435241","0.0011238484585993948"
"-0.75","-0.0013780000000025439","-0.0013774503835841847","5.496164183591435e-07","-1.3780000000025439","-1.3774503835841847","0.0005496164183591435"
"-0.5","-0.00064100000000166801","-0.00064110694336491929","-1.0694336325127365e-07","-0.64100000000166801","-0.64110694336491925","-0.00010694336325127365"
"-0.25","-0.00016500000000263526","-0.00016485161677634737","1.4838322628788793e-07","-0.16500000000263526","-0.16485161677634738","0.00014838322628788793"
"0.0","0.0","-3.2593987882643851e-07","-3.2593987882643851e-07","0.0","-0.00032593987882643851","-0.00032593987882643851"
"0.25","-0.00016500000000263526","-0.00016485161677633577","1.4838322629948889e-07","-0.16500000000263526","-0.16485161677633578","0.00014838322629948889"
"0.5","-0.00064100000000166801","-0.00064110694336489988","-1.0694336323186643e-07","-0.64100000000166801","-0.64110694336489993","-0.00010694336323186643"
"0.75","-0.0013780000000025439","-0.0013774503835841641","5.4961641837974334e-07","-1.3780000000025439","-1.3774503835841641","0.00054961641837974334"
"1.0","-0.0022900000000021237","-0.0022888761515435104","1.1238484586132726e-06","-2.2900000000021237","-2.2888761515435103","0.0011238484586132726"
"1.25","-0.0032589999999999009","-0.0032585574104262447","4.4258957365619217e-07","-3.2589999999999009","-3.2585574104262447","0.00044258957365619217"
"1.5","-0.0041390000000021132","-0.0041399065313503696","-9.0653134825636333e-07","-4.1390000000021132","-4.1399065313503698","-0.00090653134825636333"
"1.75","-0.0047569999999979018","-0.0047590605584214652","-2.0605584235633759e-06","-4.7569999999979018","-4.7590605584214654","-0.0020605584235633759"
"2.0","-0.0049130000000019436","-0.0049176850325685362","-4.685032566592584e-06","-4.9130000000019436","-4.917685032568536","-0.004685032566592584"
"2.25","-0.0044010000000014315","-0.004395981593577937","5.018406423494548e-06","-4.4010000000014315","-4.3959815935779369","0.005018406423494548"
"2.5","-0.0029579999999995721","-0.0029557847089043132","2.2152910952588645e-06","-2.9579999999995721","-2.9557847089043134","0.0022152910952588645"
"2.75","-0.00034300000000087039","-0.0003436402744784405","-6.402744775701151e-07","-0.34300000000087039","-0.34364027447844048","-0.0006402744775701151"
"3.0","0.0037069999999985725","0.0037062270928391533","-7.7290715941921023e-07","3.7069999999985725","3.7062270928391534","-0.00077290715941921023"
"3.25","0.0094700000000003115","0.0094691318359681684","-8.681640321431261e-07","9.4700000000003115","9.4691318359681684","-0.0008681640321431261"
"3.5","0.017226999999998327","0.017227381109528175","3.8110952984768409e-07","17.226999999998327","17.227381109528174","0.00038110952984768409"
"3.75","0.027265999999997348","0.027267990689359617","1.9906893622689825e-06","27.265999999997348","27.267990689359618","0.0019906893622689825"
"4.0","0.039876999999997054","0.039880665918617268","3.6659186202145366e-06","39.876999999997054","39.880665918617268","0.0036659186202145366"
"4.25","0.055360999999997773","0.055356029857134101","-4.9701428636722556e-06","55.360999999997773","55.356029857134104","-0.0049701428636722556"
